Cl_pop,0.00216506,-7.6737e-05,-0.00212651,0.000133231,-0.000198819,1.64526e-05,4.21057e-06,6.27489e-05,-1.06756e-05,-0.00033897,-1.26935e-05,3.22671e-05
beta_Cl_logtClCr,-7.6737e-05,0.00109361,-6.79058e-05,0.00011262,-0.000173939,9.49079e-07,0.000124164,3.25764e-05,-7.35661e-05,0.000177613,7.74852e-09,-2.85708e-05
beta_Cl_SEX_1,-0.00212651,-6.79058e-05,0.00641364,3.43966e-05,-0.00016974,-3.34278e-06,2.32178e-05,0.00010606,6.04119e-05,-0.000692845,9.13692e-05,0.000131768
V1_pop,0.000133231,0.00011262,3.43966e-05,0.0058885,-0.00265389,-0.00107915,-0.000522882,7.96586e-05,-0.000288276,-0.000656901,0.000344402,-3.18229e-05
Q_pop,-0.000198819,-0.000173939,-0.00016974,-0.00265389,0.0204762,0.000897486,-0.0014251,-0.00016295,-0.000235409,0.00445937,-0.000301929,0.000410708
V2_pop,1.64526e-05,9.49079e-07,-3.34278e-06,-0.00107915,0.000897486,0.00212033,3.82943e-05,-8.29063e-06,0.000306743,-5.32953e-05,-0.00032571,-2.39205e-05
beta_V2_logtWT,4.21057e-06,0.000124164,2.32178e-05,-0.000522882,-0.0014251,3.82943e-05,0.0238411,0.000250658,0.000620423,-0.000605637,-0.000969232,0.000952931
omega_Cl,6.27489e-05,3.25764e-05,0.00010606,7.96586e-05,-0.00016295,-8.29063e-06,0.000250658,0.000858845,1.88641e-05,-0.000684408,2.21954e-05,-1.32712e-05
omega_V1,-1.06756e-05,-7.35661e-05,6.04119e-05,-0.000288276,-0.000235409,0.000306743,0.000620423,1.88641e-05,0.00316381,-0.00098889,-0.000139336,3.2259e-05
omega_Q,-0.00033897,0.000177613,-0.000692845,-0.000656901,0.00445937,-5.32953e-05,-0.000605637,-0.000684408,-0.00098889,0.0213465,-0.00061511,-0.00180481
omega_V2,-1.26935e-05,7.74852e-09,9.13692e-05,0.000344402,-0.000301929,-0.00032571,-0.000969232,2.21954e-05,-0.000139336,-0.00061511,0.00147963,-2.17237e-05
a,3.22671e-05,-2.85708e-05,0.000131768,-3.18229e-05,0.000410708,-2.39205e-05,0.000952931,-1.32712e-05,3.2259e-05,-0.00180481,-2.17237e-05,0.0219754
